,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
128,128,Spain,"Aromas of strawberry, currant and spice are good in a subtle, non-pushy way. Fresh and grabby on the palate, this tastes of red fruits, baking spices and cocoa. Drying tannins along with cassis and chocolate flavors push a healthy finish. Drink through 2020.",Arnegui Reserva,90,22.0,Northern Spain,Rioja,,Tempranillo,Pagos del Rey
138,138,Spain,"Cherry, plum, vanilla and mild oak aromas feed into a medium-bodied, elegant palate with plum and cherry flavors supported by a touch of toasty oak and vanilla. Notes of café mocha and toast grace a crisp finish that isn't trying too hard.",Crianza,90,17.0,Northern Spain,Rioja,,Tempranillo,Valdelacierva
147,147,Spain,"Aromas of white flowers, stone fruits and lees are typical of well-made Albariño. A juicy, elegant palate with a mix of citrus and stone-fruit flavors is lasting, with a hint of pithy character coming up on the finish.",,90,17.0,Galicia,Rías Baixas,,Albariño,Mar de Viñas
152,152,Spain,"Dusty, leesy aromas of apple and vanilla are sturdy. This brut Cava is fresh and modestly elegant on the palate, with lime, apple and tarragon flavors. A dry, confident finish offers apple and citrus flavors and a sense of ease.",Brut Reserva,89,17.0,Catalonia,Cava,,Sparkling Blend,Bohigas
158,158,Spain,"Aromas of leather, roast plum and compost are challenging and not immediately inviting. In the mouth, this shows rubbery tannins and juicy acidity. Saucy, herbal plum and currant flavors ride on a beam of acidity toward an earthy, tomatoey finish with a lightly leafy aftertaste.",Viña Real Gran Reserva,89,44.0,Northern Spain,Rioja,,Tempranillo,CVNE
162,162,Spain,"Dense, tarry aromas of asphalt and rubbery boysenberry are hefty but also a bit flat. This has a tannic mouthfeel to go with blackberry, prune and raisin flavors. Toast, bitter chocolate and full-bodied weight push the finish on this oaky, ripe Rioja. Drink through 2020.",Gaudium,89,44.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Cáceres
175,175,Spain,"Pleasant red-fruit aromas of cherry and raspberry are low in octane for Toro. A fresh but not overly dense palate is lively and vital, with wild berry, plum and brown sugar flavors. A warm, heady, generous finish is fruity and bright. Drink through 2018.",Gran Bajoz,89,30.0,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey
188,188,Spain,"Apple, nectarine, lees and briny aromas steer this Godello toward a round, full palate. Slightly bitter flavors of melon and peach finish much like the wine starts—briny and leesy. This is also pithy tasting, like the inside of a grapefruit peel.",Sobre Lías,88,25.0,Northern Spain,Valdeorras,,Godello,Valdesil
189,189,Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Negre,87,22.0,Catalonia,Montsant,,Red Blend,Jaspi
209,209,Spain,"A mix of smoke and toast blends with fresh, crisp citrus aromas on the nose. That's followed by a foamy, reactive palate with flavors of pink grapefruit, orange, pepper and caramel. This remains foamy on the finish, which is peppery and slightly bitter in flavor.",Yá Cuvée 23 Brut Rosé,87,18.0,Catalonia,Cava,,Sparkling Blend,Sumarroca
259,259,Spain,"This is brilliantly purple in color, with jumpy, untamed black-fruit aromas. In the mouth, it is tannic and clawing, with a cheek-drilling mouthfeel. Syrupy blackberry flavors offer baking spice and clove accents, while the finish is showing unabsorbed oak and monster tannins.",Prestigio,88,30.0,Northern Spain,Cigales,,Tempranillo,Val de Los Frailes
260,260,Spain,"Dusty black cherry and dark plum aromas are ripe and friendly. This is a plump, modern-style red with a clean mouthfeel and weight. Berry fruits, spice and oak flavors blend well, while the finish is, in general, full, smooth and adequately fresh. Tempranillo with 10% Petit Verdot.",Crianza,88,17.0,Central Spain,La Mancha,,Tempranillo Blend,Yuntero
321,321,Spain,"Spicy yet sweet aromas of sarsaparilla root, saddle leather and earthy berry fruits precede a rich dense palate. This tastes of dark cherry and berry fruit, with an herbal shading adding complexity. Chocolaty oak takes hold on a solid long finish. Drink through 2024.",QP,94,68.0,Northern Spain,Rioja,,Tempranillo Blend,Bodega Classica
323,323,Spain,"Ripe pure black-fruit aromas are touched up by notes of malty chocolate and mocha. This is proportionally big, with cheek-grabbing tannins, but it's not overly hard or unbalanced— just the opposite. Flavors of mocha, coffee, hazelnut and ripe berry fruits finish flush, dense and firm, with toasty notes and powerful but controlled residual tannins. Drink through 2030.",Prestigio Pago de las Solanas,94,,Northern Spain,Ribera del Duero,,Red Blend,Matarromera
333,333,Spain,"Lightly leesy aromas of vanilla cookie are offset by crisp minerally apple and stone-fruit scents. This is pure and lifted by fine acidity, while flavors of apple, pineapple and lemon-lime end fresh, with a distant note of citrus pith. Drink immediately.",Etiqueta Ambar,91,22.0,Galicia,Rías Baixas,,Albariño,Granbazán
359,359,Spain,"Ripe berry aromas blend nicely with earthy leathery scents. With a full and easy palate, this generous Crianza delivers blackberry and chocolate flavors that veer toward raisin and prune, especially on the finish, which is lightly toasted and dense in feel. Drink through 2019.",Crianza,91,32.0,Northern Spain,Ribera del Duero,,Tempranillo,Matarromera
383,383,Spain,"Aromas of plum, wild herbs and tobacco are mature and suggest that this is ready to drink. In the mouth, this is medium-bodied, with clarity and a sense of freshness. Plum, berry and cherry flavors finish in harmony. Drink through 2020.",Reserva,90,35.0,Northern Spain,Ribera del Duero,,Tempranillo,Quintana de Cue
385,385,Spain,"Aromas of mulled black fruits, vanilla, tobacco, orange peel and earth are a touch jumbled, but compartmentalized—this smells nice. Wiry and fresh in feel, but with a slightly hollow midsection, this tastes peppery, oaky and like cherry and black plum. A toasty finish with snappy acidity solidifies this medium-weight La Mancha Tempranillo. Drink through 2019.",Orquestal,90,28.0,Central Spain,La Mancha,,Tempranillo,Casa del Valle
395,395,Spain,"Apple, lime and mineral aromas lend freshness to a mature nose. This feels round and plump, but well balanced due to fine acidity. Peach and citrus flavors are stony and finish with tropical notes of lychee and mango. Drink now.",Albariño de Fefiñanes,90,26.0,Galicia,Rías Baixas,,Albariño,Palacio de Fefiñanes
410,410,Spain,"The first thing that leaps at you on this oddball blend of Albillo, Sauvignon Blanc and Viognier is toasty oak, which overrides spice and apple aromas. In the mouth, this is full, resiny and grabby. Oak-driven flavors of vanilla, lees, peach and white pepper finish long, with elegance and a woody aftertaste.",Mirlo Blanco,90,49.0,Spain Other,Spain,,White Blend,Valquejigoso
424,424,Spain,"A mix of smoke and toast blends with fresh, crisp citrus aromas on the nose. That's followed by a foamy, reactive palate with flavors of pink grapefruit, orange, pepper and caramel. This remains foamy on the finish, which is peppery and slightly bitter in flavor.",Yá Cuvée 23 Brut Rosé,87,18.0,Catalonia,Cava,,Sparkling Blend,Sumarroca
425,425,Spain,"Raspberry, red currant and a pinch of oaky maple make up the nose on this Tinto Fino that sports a medium-weight body with medium-level intensity. Red-berry flavors follow the nose, while a crisp finish with red plum and raspberry flavors wraps things up.",Crianza,87,27.0,Northern Spain,Ribera del Duero,,Tempranillo,Trus
439,439,Spain,"Initial aromas of aged cheese, gym shoes and overall funk are more complicated than easy. This is lacks a center point on the palate, while flavors of briny stone fruits are drawn, buttery and oxidized. A briny apricot note rises up on the finish.",Buleria Fino,87,25.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
442,442,Spain,"Wiry aromas of berry and spice are tempered by a touch of oaky vanilla. On the palate, there's a blend of creamy oak and sharp acidity, while flavors of plum and boysenberry are tart overall but again softened by barrel-driven vanilla notes. Snappy acidity makes for a moderately sharp, pointed finish.",Crianza,87,15.0,Northern Spain,Ribera del Duero,,Tempranillo,Condado de Oriza
443,443,Spain,"Smooth, nutty aromas include vanilla and flor scents. This has a dry palate with flavors of orange, lemon, salt and peanuts. It's crisp but metallic in feel, with angular acidity and a finish that's salty in flavor and slightly oily in texture.",Premium,87,16.0,Andalucia,Manzanilla-Sanlúcar de Barrameda,,Sherry,Delgado Zuleta
444,444,Spain,"Crisp, minty, herbal aromas of berry and plum lead to a bright, rumbling, tannic palate with energy. Blackberry and chocolate flavors are good and earthy, while the finish is plump but braced by lively acidity. This is well made and satisfying for a basic roble wine.",Roble 4 Meses en Barrica,87,15.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,Señorío de Sotillo
446,446,Spain,"Berry and cherry aromas are fruity and clean. This blend of Carignan, Grenache and Syrah is big on the palate but also tannic, acidic and fierce. Black plum, blackberry and tomato flavors finish crisp and firm.",Brunus,87,28.0,Catalonia,Montsant,,Red Blend,Portal del Montsant
499,499,Spain,"Earthy berry and licorice aromas are composed, lightly oaked and attractive. This standard Priorato blend of Grenache, Carignan and Syrah is fresh feeling, with a bolt of bracing acidity. Juicy plum and raspberry flavors finish loamy, earthy and balanced. For a wine that's no heavyweight, this is strong throughout. Drink through 2018.",,89,23.0,Catalonia,Priorat,,Red Blend,Vega Escal
506,506,Spain,"Look for the blue bottle and you'll get a solid Albariño. This is typically light and fresh, with aromas of stream water, wild flowers, fresh herbs and leesy stone fruits. Crisp and citric on the palate, with proper cut, this tastes of orange, peach, nectarine and lemon. Minerally, cleansing and steady on the finish.",Val do Salnés,89,25.0,Galicia,Rías Baixas,,Albariño,Mar de Frades
508,508,Spain,"Briary, dry, lightly oaked aromas of plum and berry lead to a bright, forward, juicy palate with fresh acidity and racy flavors of cherry and plum. This is short but clean on the finish, and overall it's the type of simple, drinkable, affordable Ribera del Duero that fans of the region don't come across often enough.",,89,12.0,Northern Spain,Ribera del Duero,,Tempranillo,Maitea
509,509,Spain,"Mineral, citrus and dusty aromas are textbook for brut Cava. A round, full palate shows good grip and acidity, while flavors of lemon-lime and nectarine finish with notes of lime and green banana. Nothing about this is overwhelming, but the sum of its parts add up.",Brut,89,18.0,Catalonia,Cava,,Sparkling Blend,Castellroig
564,564,Spain,"Baked, rooty aromas of sandalwood, exotic spices and berry fruits are attractive. Though slightly grabby on the palate, this shows the right structure and build. Flavors of up-front oak, herbal plum and raspberry finish dry, with firm, pinching tannins. Drink through 2021.",Fincas de la Villa Reserva,90,20.0,Northern Spain,Rioja,,Tempranillo,Bodegas Muriel
565,565,Spain,"Berry and cinnamon aromas are lightly woody and spicy. This is tannic but not mean or fierce. Flavors of oaky plum and berry fruits turn savory in front of a finish with a dry, snappy, slightly raw feel. Given that 2013 was a cold vintage, this Crianza deserves praise.",Crianza,90,17.0,Northern Spain,Rioja,,Tempranillo Blend,Burgo Viejo
586,586,Spain,"Deep dark berry aromas come with notes of vanilla, gritty spice and tobacco. Hard tannins require cushion and this has just enough to handle things. Blackberry, cassis, barrel spice and molasses flavors finish with savory oak notes, chocolate and lingering blackberry fruit. Drink through 2030.",Reserva Edición Especial Sergio Hernández,93,64.0,Northern Spain,Ribera del Duero,,Tempranillo,Lleiroso
598,598,Spain,"Like it's bigger sibling El Anejón, this Reserva from a warm vintage is almost one-quarter Cabernet Sauvignon and Merlot in addition to Tinto Fino (Tempranillo). The opening of burnt earth, brandied cherry, rubber and herbal aromas is distinct. This feels a bit tough and chewy, with boysenberry, cassis, vanilla-cream and herbal spice flavors. A fairly smooth finish is young and vital. This should improve with aging. Best from 2019–2026.",Reserva,93,91.0,Northern Spain,Ribera del Duero,,Red Blend,Pago de Carraovejas
641,641,Spain,"Classic Albariño aromas of sea brine, tropical fruits, lees and dust precede a minerally lemony palate with tangy flavors of lemon, lime and gooseberry. This is a fresh clean example with a long stony citrusy finish.",Sin Palabras Castrovaldés,90,20.0,Galicia,Rías Baixas,,Albariño,Castro Brey
689,689,Spain,"Plum and berry aromas are pure and compact. This is a lively, energetic, everyday Tempranillo with lots of bounce to its step. The power-packed palate is full of mixed berry flavors, while the finish is dense and comfortable, with residual weight.",Made With Organic Grapes,88,11.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Venta Morales
691,691,Spain,"In a small field of excellent Cavas, this bready, leesy, semi-rich bottling stands out for its totality and comfort on the palate. Along the road are aromas of burnt banana and toasted bread along with flavors of arugula, lime and dried apple. An elegant finish with stone-fruit and green-herb notes is sophisticated.",Leopardi Brut Nature Gran Reserva,90,35.0,Catalonia,Cava,,Sparkling Blend,Llopart
716,716,Spain,"This amontillado smells complete, with a tight aromatic mix of raw wood, brine, citrus and dried stone fruits. The palate is racy, with razor-like acidity. Intense flavors of dried apricot, tart nectarine and almond skins finish full  and lasting, with cutting acidity.",Viña AB Amontillado Seco,90,26.0,Andalucia,Jerez,,Palomino,González Byass
743,743,Spain,"An aromatic opening of compost and vinegar might suggest casting this aside. But flavors of strawberry and chocolate, along with an admitted weedy note, amount to something decent. Finishing notes of brown sugar and berry syrup are chocolaty and ensure that this finishes better than it begins.",Colección Vivanco Dulce de Invierno Late Harvest,85,50.0,Northern Spain,Rioja,,Red Blend,Vivanco
751,751,Spain,"Concentrated aromas of blackened oak, blackberry, cassis, licorice and hickory smoke are clarion calls that this is a fully oaked, modern wine. In the mouth, it's heavy and tannic but doesn't trip over itself. Blackberry, cassis, burnt toast and campfire flavors finish equally toasted, peppery, charred and lemony, with chewy tannins. Drink through 2020.",Herència del Padrí,89,26.0,Catalonia,Priorat,,Red Blend,Bernard Magrez
834,834,Spain,"Smoky, oaky, charred flavors of savory plum and berry lead to a full, layered palate with slightly abrasive tannins. This tastes of grilled beef, lemon peel, toast, cassis and chocolate. A toasted character remains on a solid finish. Drink through 2020.",Reserva,90,21.0,Northern Spain,Rioja,,Tempranillo Blend,Beronia
841,841,Spain,"In a small field of excellent Cavas, this bready, leesy, semi-rich bottling stands out for its totality and comfort on the palate. Along the road are aromas of burnt banana and toasted bread along with flavors of arugula, lime and dried apple. An elegant finish with stone-fruit and green-herb notes is sophisticated.",Leopardi Brut Nature Gran Reserva,90,35.0,Catalonia,Cava,,Sparkling Blend,Llopart
844,844,Spain,"Bready white-fruit aromas are a touch funky and difficult to gauge. In the mouth, this is foamy but secure, with lemon-lime and nectarine flavors. This feels precise on the finish, with mild yeast and bread flavors.",Brut Reserva Special Edition,90,25.0,Catalonia,Cava,,Sparkling Blend,Torelló
858,858,Spain,"Dusty apple and mineral aromas are composed, not loud, while additional peach-pit notes are crisp. This mature Godello is round and solid in composition, while stony apple and quince flavors finish long and in good shape. Drink now.",Lapola,90,36.0,Galicia,Ribeira Sacra,,Godello,Dominio Do Bibei
859,859,Spain,"This amontillado smells complete, with a tight aromatic mix of raw wood, brine, citrus and dried stone fruits. The palate is racy, with razor-like acidity. Intense flavors of dried apricot, tart nectarine and almond skins finish full  and lasting, with cutting acidity.",Viña AB Amontillado Seco,90,26.0,Andalucia,Jerez,,Palomino,González Byass
864,864,Spain,"Black fruits, fine herbs and horsehide carry the aromas of this offering. In the mouth, this is firm and well built, with integrated tannins. Savory flavors of soy sauce and roast plum share space with bolder, riper cherry notes, while a warm, earthy finish tastes of roasted plum and berry. Drink through 2021.",Valcortes Crianza,90,30.0,Northern Spain,Rioja,,Tempranillo,Maset del Lleó
919,919,Spain,"Flawless on the nose, this amontillado purchased from the solera of Señor González Obregón is full of lift, power and toffee on the nose. There's zero excess weight to the palate, which features flavors of nuts, salt, caramel and dried apricot. On the finish, a hint of buttered toast offers an umami offset to acid-driven raciness.",Almancenista José Luis González Obregón Amontillado del Puerto,93,30.0,Andalucia,Jerez,,Sherry,Lustau
924,924,Spain,"This modern-style Tempranillo is registering at max ripeness. Aromas of black fruits, raisin, tire rubber and toasty French oak project a dark outlook. In the mouth, this is tight and gripping. Flavors of blackened oak, cassis and blackberry finish firm and closed, with manageable tannins. Drink through 2025.",,93,61.0,Northern Spain,Rioja,,Tempranillo,San Vicente
940,940,Spain,"Rosy cherry and plum aromas turn more rubbery and raisiny as this airs out. Solid, lifted and deep on the palate, this varietal Garnacha deals lightly herbal, floral flavors of plum and cherry cough drop, while the finish is oaky, resiny, raw, scouring and tough. Nothing about this is subtle or elegant, but it is dynamic. Drink through 2020.",Hisenda Miret Microcuvée Garnatxa,89,50.0,Catalonia,Penedès,,Garnacha,Parés Baltà
964,964,Spain,"Resiny oak and mildly stalky berry aromas muscle out cherry and raspberry scents. This feels grabby and clampy, while oaky flavors of mixed berries and baked plum end with coconut-infused oak flavors and notes of raisin and licorice. Drink through 2020.",Reserva,90,35.0,Northern Spain,Rioja,,Tempranillo Blend,Rioja Vega
985,985,Spain,"Cherry and plum aromas are accented by buttery oak, leather and animal notes. Solid in feel with firm tannins, this warm-vintage Tempranillo is ripe, loamy and loaded with berry and cassis flavors. A lightly raisiny finish is friendly and round. Drink through 2019.",Reserva,90,24.0,Northern Spain,Ribera del Duero,,Tempranillo,Valdubón
1065,1065,Spain,"While 2010 was a great vintage in most of Spain, parts of Bierzo had a mildew problem and thus some wines are less than fully ripe. This seems to be a case in point; it's scratchy on the nose, with a sinewy, drawing mouthfeel that's only partly covered up by oak. Prickly berry and black cherry flavors finish tight, with scraping tannins. Drink now with meat or cheese.",,88,25.0,Northern Spain,Bierzo,,Mencía,Losada
1086,1086,Spain,"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Cuvée,87,15.0,Levante,Jumilla,,Monastrell,Finca Hispana
1110,1110,Spain,"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable.",Crianza,90,15.0,Northern Spain,Rioja,,Tempranillo,Palacio del Burgo
1112,1112,Spain,"Widely available Rioja Crianzas don't come much better than this. An opening of raspberry and strawberry aromas backed by direct cherry, raspberry and red-plum flavors render this all about fruit and freshness.",Crianza,90,20.0,Northern Spain,Rioja,,Tempranillo Blend,Rioja Vega
1162,1162,Spain,"Black fruits, fine herbs and horsehide carry the aromas of this offering. In the mouth, this is firm and well built, with integrated tannins. Savory flavors of soy sauce and roast plum share space with bolder, riper cherry notes, while a warm, earthy finish tastes of roasted plum and berry. Drink through 2021.",Valcortes Crianza,90,30.0,Northern Spain,Rioja,,Tempranillo,Maset del Lleó
1189,1189,Spain,"Aromas of roasted earth, leather and fine oak are more out-front than berry fruit, and that's the way it should be for a Gran Reserva. This feels bold, lively and still a touch bumpy. Chocolaty oak and vanilla notes rest comfortably on top of ripe berry and black-plum flavors, while the finish is persistently earthy and chocolaty. Drink through 2028.",Monte Real Gran Reserva,93,37.0,Northern Spain,Rioja,,Tempranillo,Bodegas Riojanas
1190,1190,Spain,A ripe fruity set of berry and cassis aromas shows a slight hint of raisin. This is a stacked saturated wine with raw tannins and plenty of power. Blackberry and earthy notes finish stout and compact: this doesn't vary or waver on the back end. Best from 2019–2026.,Imperial Reserva,93,44.0,Northern Spain,Rioja,,Tempranillo Blend,CVNE
1191,1191,Spain,"A more intense version of Carraovejas's Reserva from 2012, this also includes more than 20% Cabernet Sauvignon and Merlot. Thus it's spicy and prickly on the nose, with road tar and peppery notes in addition to potent berry fruit. A rich saturated rumbling palate deals coffee, toast, blackberry and herbal flavors that are much like the Reserva but more amplified. A charred finish has a lemony ring to it. Drink from 2020 through 2030.",El Anejón,93,136.0,Northern Spain,Ribera del Duero,,Red Blend,Pago de Carraovejas
1277,1277,Spain,"Pine notes and an aroma akin to floor polish make for an iffy start. This carries a slight chemical flavor as it moves along, while honey and brown-sugar notes sweeten things up. A chunky, obtuse finish feels sticky due to mild acidity.",Vendimia Tardia Single Vineyard,85,30.0,Northern Spain,Navarra,,Moscatel,Ochoa
1302,1302,Spain,"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Cuvée,87,15.0,Levante,Jumilla,,Monastrell,Finca Hispana
1309,1309,Spain,"Neutral on the nose except for a whiff of apple, this is a wine to drink now. A round, pulpy palate is balanced by citric acidity, while waxy flavors of baked apple and peach finish briny and round, with a hint of green banana.",Joven,87,10.0,Catalonia,Terra Alta,,Garnacha Blanca,Finca Hispana
1320,1320,Spain,"Potent black-plum and black-cherry aromas come with a ton of grainy, spicy oak. This is both fresh and bright as well as dark, brawny and roasted in character. Flavors of ripe blackberry and cherry share the stage with toasty, charred oak and spice flavors in front of an aggressive but tasty finish.",Veraton,89,34.0,Northern Spain,Campo de Borja,,Garnacha,Alto Moncayo
1329,1329,Spain,"On the nose, this is challenging: gaseous, oaky aromas of wet cement also contain notes of bitter lettuce, baking spices and general grit. Raw, tannic and abrasive on the palate, this unfolds to offer herbal flavors of berry and plum. Tannic, scratchy, rugged and mildly green on the finish.",Barranc dels Closos,88,25.0,Catalonia,Priorat,,Red Blend,Mas Igneus
1330,1330,Spain,"Muscular, leathery aromas of dark-berry fruits come with a can't-miss animal element. This Grenache-Carignan blend features a powerful grip and grabby texture. Earthy, jammy flavors of raspberry and plum end with herbal accents, dry spice and the taste of bitter black cherry.",,88,22.0,Catalonia,Priorat,,Red Blend,Clos de Tafall
1381,1381,Spain,"Raw, lightly leafy red-berry aromas properly announce what amounts to a juicy, snappy Tempranillo with berry, spice and dry oak flavors. A dry feeling, peppery tasting finish is traditional for good, basic Spanish table wine.",Reserva,88,14.0,Central Spain,Valdepeñas,,Tempranillo,Viña Albali
1400,1400,Spain,"Pure berry aromas define the nose on this highly drinkable Garnacha-Syrah blend. In the mouth, it's clean, juicy, a bit round and easy to process. Typical Aragónese flavors of plum and berry finish tasty and unbroken.",,88,8.0,Northern Spain,Campo de Borja,,Grenache-Syrah,Los Dos
1401,1401,Spain,"This respected Bierzo producer's base-level Mencía is jumpy on the nose, with floral berry and plum aromas. It feels fresh and bright, with ample structure. Standard berry, plum and currant flavors come with notes of spice, while the finish is forward and fresh.",,88,16.0,Northern Spain,Bierzo,,Mencía,Luna Beberide
1406,1406,Spain,"Varietally specific aromas of wild flowers, honey and lemon verbena set up an unctuous, creamy palate with modest acidity and lots of weight. Honey, mango, vanilla and other sweet, tropical flavors finish thick but not quite cloying. This is a unique wine for Navarra that deserves to be judged on its own.",Vendimia Tardia Single Vineyard Finca El Bosque,88,30.0,Northern Spain,Navarra,,Moscatel,Ochoa
1435,1435,Spain,"Typical for this winery, this smells a bit herbal, with tomato and earthy plum aromas leading the way. Scratchy, grabby tannins support savory, herbal berry flavors. Hard tannins struggle to resolve themselves on a firm, muscular finish.",Reserva,90,26.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Vargas
1436,1436,Spain,"This is a ripe, earthy, modern-leaning Rioja with aromas of blackberry, raisin and rubber. Soft and fleshy on the palate, what this easygoing number lacks in structure is made up for in charm. Ultraripe flavors of plum and berry come with a chocolaty accent, while the finish is smooth and tastes earthy and spicy. Drink through 2019.",Lindes de San Vincente,90,32.0,Northern Spain,Rioja,,Tempranillo Blend,Remelluri
1439,1439,Spain,"Earthy berry and raisin aromas announce a warm, ripe wine. This feels plump, grapy and chunky, with moderate acidity. Grapy, bold flavors of raspberry, prune and cherry are earthy and loamy, while ripeness and a raisiny element carry onto the finish. Drink through 2019.",,90,50.0,Northern Spain,Rioja,,Garnacha,Contino
1453,1453,Spain,"Aromas of earthy, nutty, mature berry fruits come with a hint of raisin and a touch of compost. This saturated Vino de Cádiz is composed of 80% Syrah, with Merlot and Cabernet Sauvignon. It's a heavy wine with flavors of vanilla, burnt wood, blackened spices and stewed berries. The finish tastes peppery, dark and outright woody. Drink through 2019.",Taberner No1,90,90.0,Andalucia,Vino de la Tierra de Cádiz,,Red Blend,Huerta de Albalá
1454,1454,Spain,"This blend from Cádiz features Syrah, Merlot and Cabernet Sauvignon. It's big, ripe and minty on the nose, with hints of animal fur and leather. A blocky, full palate weighs in at 15.5%, while flavors of oak and vanilla blend well with spiced berry fruit. A drying finish tastes mostly of oak. Drink through 2025.",Taberner,90,33.0,Andalucia,Vino de la Tierra de Cádiz,,Red Blend,Huerta de Albalá
1462,1462,Spain,"Smoky, oaky, rubbery aromas are sophisticated and inviting. This blend of 90% Garnacha and 10% Carignan feels smooth, but with a healthy pulse. Plum and cherry flavors carry a note of oaky char, while a long, toasty finish offers a complex note of cured meat. Drink through 2020.",Selecció,90,32.0,Catalonia,Terra Alta,,Red Blend,Edetària
1496,1496,Spain,"Smooth, deep aromas of licorice and blackberry are composed. This Mencía feels full and lusty, with grip but nothing too hard or edgy. Earthy black fruit flavors are savory, toasty and meaty, while the finish is woody and plump. Drink through 2020.",Art,90,55.0,Northern Spain,Bierzo,,Mencía,Luna Beberide
1546,1546,Spain,"Off the bat, this smells a bit like fruit punch, although with time it stiffens. A chunky heavy somewhat flat palate tastes of clove, chocolate and berry and plum.",Don Ramón,84,9.0,Northern Spain,Campo de Borja,,Red Blend,Bodegas Aragonesas
