id_hogar,ingreso_anual,gasto_vivienda,gasto_alimentacion,gasto_transporte,gasto_ocio,gasto_salud,gasto_educacion,ahorro
50,19986.39,5663.91,3279.25,2833.27,1300.85,1165.96,1759.53,3983.62
51,75860.17,24678.17,12540.96,9675.93,11309.12,2268.64,2024.28,13363.07
52,26335.29,10292.56,5565.3,1392.74,1685.84,1980.44,29.35,5389.05
53,81330.33,24990.75,16303.21,5718.43,7237.37,5013.92,4349.86,17716.79
54,40479.12,12545.65,9528.83,5190.36,4748.35,1248.74,1351.14,5866.06
55,33937.5,9557.67,6703.26,2393.46,789.57,1826.37,1858.27,10808.9
56,65883.17,17525.33,11148.83,6144.33,630.35,2961.9,4319.73,23152.69
57,18842.98,6278.73,3725.63,2195.24,357.52,1250.86,1062.79,3972.2
58,16131.9,4287.16,3440.31,1144.55,2105.27,1400.39,1832.16,1922.05
59,17375.63,5262.43,3555.31,1792.49,1006.5,390.89,1386.62,3981.4
60,16521.0,4640.64,3225.2,990.92,3012.24,1029.27,1305.39,2317.34
61,30874.45,9853.86,6545.39,2530.44,1773.12,1753.59,2737.52,5680.53
62,20548.81,6438.9,4419.61,2252.01,1795.6,1508.83,736.37,3397.48
63,63570.15,21709.31,14078.55,3319.01,9006.9,4085.27,6431.61,4939.51
64,30149.63,8429.82,6013.68,3413.37,4831.29,1355.55,2041.95,4063.98
65,20698.8,5986.2,3622.01,2057.69,3362.73,1109.85,1865.26,2695.07
66,37151.1,9690.84,6850.71,4330.88,4767.77,1637.6,1405.96,8467.33
67,20438.59,5768.35,4418.73,2181.15,2472.3,1666.16,478.0,3453.9
68,66296.29,20889.43,10308.54,9342.75,6875.0,4006.03,6267.43,8607.1
69,15513.01,5123.63,2963.92,1609.58,1724.03,1520.64,1261.09,1310.12
70,54398.19,14312.89,9149.77,4739.05,3152.51,3197.89,2335.77,17510.29
71,40231.06,13468.72,7276.28,4170.71,1901.8,1843.86,1766.55,9803.12
72,19831.11,7024.69,4330.19,2306.34,1583.81,589.49,2057.74,1938.85
73,17937.3,5677.82,3331.55,1820.02,1312.88,429.37,615.57,4750.09
74,61173.27,22944.37,11096.41,6191.82,3784.84,1732.26,7296.76,8126.81
75,43943.65,11822.97,6117.15,3468.92,4739.56,2871.39,1888.76,13034.9
76,30859.0,7721.35,6245.48,2472.21,3647.91,2165.51,2751.13,5855.41
77,38829.68,8886.22,7741.26,2249.09,3243.69,1101.84,2335.27,13272.32
78,17393.42,6258.88,4259.61,2652.28,2419.45,1354.96,1532.28,-1084.03
79,33476.23,10919.1,5716.62,2098.43,1149.32,1685.15,1796.89,10110.72
80,21296.33,6341.55,3973.35,1686.94,1538.74,1340.3,1386.74,5028.71
81,68254.16,21240.61,12796.39,5354.39,3503.29,6296.07,4861.58,14201.84
82,40694.57,10376.32,9250.84,5162.01,217.25,3171.6,1625.11,10891.43
83,21916.44,8719.02,3882.3,1997.72,1680.83,1197.28,2021.24,2418.05
84,18063.01,5512.27,3402.54,2482.44,1357.08,761.83,986.31,3560.55
85,20045.86,6101.47,3973.83,1599.56,2817.2,340.05,1265.74,3948.0
86,17069.2,5616.29,3168.01,1849.79,1796.23,778.64,685.66,3174.57
87,37269.16,11897.82,6209.3,2792.94,1454.71,2078.78,0.0,12835.62
88,34089.0,10531.98,6334.51,5602.68,5255.29,1372.3,2190.87,2801.37
89,60969.96,16363.18,12938.37,3924.76,7855.45,3498.14,8680.81,7709.24
90,39166.1,12488.45,5843.76,4280.64,4045.23,2410.17,3663.52,6434.33
91,15545.34,5833.87,2860.17,1850.1,1102.8,862.81,1079.19,1956.4
92,49646.71,17565.84,7893.65,5580.98,2066.42,2333.39,3083.72,11122.71
93,27957.88,10169.05,6034.75,2640.38,1820.39,1771.78,1975.89,3545.65
94,26500.68,7408.3,3559.16,2546.86,3274.16,1824.28,2290.02,5597.91
95,43106.78,11225.69,7036.42,4367.33,6698.08,1646.33,1490.44,10642.48
96,40541.64,11958.51,7756.28,3875.37,5745.96,3576.53,4193.21,3435.79
97,39368.84,11898.4,8935.38,5075.29,2379.69,2284.5,3600.73,5194.84
98,39398.42,13543.9,7014.0,6552.58,1387.43,2378.76,3606.75,4915.0
99,17963.26,4172.89,2934.19,1495.89,1538.29,1332.23,1493.72,4996.04
100,15308.24,5529.06,3619.4,901.75,141.79,989.9,1080.59,3045.76
101,18227.41,5353.02,2489.13,1774.47,1693.81,1441.11,1643.85,3832.02
102,30259.87,8561.27,3450.71,5367.84,2242.13,1989.36,2655.44,5993.13
103,20925.36,5430.46,4042.79,1588.02,1283.95,999.21,1242.52,6338.4
104,33970.6,7942.52,5603.06,5067.51,550.73,2283.85,1793.37,10729.56
105,51745.03,17227.31,7728.79,7778.88,5202.65,1921.06,3780.27,8106.06
106,17035.84,5160.71,3428.48,1420.66,999.87,1059.14,1984.17,2982.81
107,37890.52,9412.06,7097.43,4435.82,1258.09,2248.25,1243.82,12195.04
108,31053.93,7707.49,5064.2,4622.44,0.0,1733.98,806.6,11119.22
109,15533.34,4451.37,2199.38,1376.66,1225.57,892.07,1164.11,4224.18
110,18731.06,6869.82,3861.85,1758.71,2826.33,418.88,1339.77,1655.7
111,18734.9,5425.93,3737.73,1546.56,2743.73,918.49,1408.87,2953.59
112,16479.17,3952.93,2917.22,1146.25,1017.03,1019.35,1274.15,5152.25
113,55289.62,16043.4,13015.13,4452.01,3091.33,3494.14,3500.05,11693.55
114,62320.5,18016.3,9217.04,3943.75,6154.21,2458.33,7147.91,15382.96
115,24863.41,4776.87,3337.52,2511.76,996.14,2121.2,546.32,10573.59
116,45925.36,13677.87,7313.28,3531.7,4228.43,1959.93,2073.3,13140.85
117,52815.56,15356.79,9434.57,5651.98,5843.68,4192.98,3533.49,8802.07
118,17359.66,5691.33,3251.47,925.67,2240.74,1189.9,359.42,3701.13
119,63109.08,23600.16,10902.91,6937.35,4795.9,2970.89,4084.7,9817.17
120,45327.49,15640.82,8637.68,5666.2,3256.92,4329.06,5432.23,2364.58
121,68576.6,19835.4,9769.0,2755.95,3077.77,2477.48,4843.33,25817.67
122,58400.61,14935.31,13041.61,6495.42,2740.44,4577.62,4492.24,12117.98
123,17942.95,7229.83,3185.51,2455.14,1272.89,1435.65,577.67,1786.27
124,14992.41,4533.24,3201.16,955.18,1419.7,698.46,772.25,3412.43
125,17944.46,5393.34,3414.5,2694.85,2091.31,1576.41,1054.13,1719.92
126,32979.39,9861.99,6388.19,3712.51,1578.82,1813.84,1994.22,7629.83
127,63227.19,19469.13,12461.64,4985.44,8833.31,4158.7,6856.94,6462.02
128,51727.69,15219.61,10005.75,5086.22,3577.23,3372.98,4486.38,9979.51
129,19558.04,5418.62,3897.56,2283.4,1547.93,1120.95,716.92,4572.66
130,45729.17,12718.46,10054.68,4677.19,2291.56,3485.3,3539.22,8962.77
131,34238.68,10226.75,6364.82,3977.26,0.0,2597.68,2908.46,8163.71
132,19205.14,5344.08,3865.42,1390.06,2215.54,480.69,2001.26,3908.08
133,20070.43,5448.84,3558.65,2109.02,2197.19,1727.8,2356.59,2672.34
134,16796.34,5110.41,3749.0,967.28,1154.7,449.3,664.25,4701.4
135,62240.92,18037.48,9940.39,6016.41,5146.06,5019.79,2842.81,15238.0
136,18037.78,6496.48,4221.35,1314.64,1815.28,1488.73,582.13,2119.17
137,35683.73,6921.26,6380.08,2780.98,624.4,1362.43,2247.34,15367.24
138,29588.93,10168.54,4055.95,4056.13,1740.95,1532.22,2485.2,5549.93
139,35171.57,12304.54,6466.05,4668.65,3931.15,1332.51,3503.79,2964.88
140,64979.98,14104.84,10368.76,7685.45,1938.25,3619.49,4400.54,22862.66
141,74511.44,21332.07,15291.19,5009.45,6835.85,4011.64,4500.83,17530.41
142,20877.81,5953.15,3349.25,1889.6,537.33,1578.22,1556.5,6013.77
143,50072.28,12202.59,8342.77,6829.5,4939.99,4316.54,2250.53,11190.35
144,15697.96,4220.98,1935.77,1636.54,1233.46,1380.07,2082.9,3208.24
145,20616.96,5269.22,3431.3,3496.22,317.39,1005.21,448.83,6648.78
146,18550.03,6865.19,1990.11,2073.88,2348.24,1035.38,1401.31,2835.9
147,50328.62,16982.24,6667.68,5322.83,2547.45,1325.21,6578.36,10904.84
148,29341.91,10294.97,5950.9,2662.09,1396.38,1287.6,2059.92,5690.05
149,15480.83,5091.13,3151.5,1610.1,1362.67,1227.58,995.4,2042.45
150,16201.82,4128.84,3123.12,1546.07,2040.55,1495.62,960.39,2907.23
151,38761.04,10815.07,5852.56,4699.52,1525.91,1368.77,2503.51,11995.71
152,16422.73,5248.3,2932.59,2113.62,1354.34,790.77,1825.97,2157.16
153,15722.6,3948.18,2828.37,1201.53,1527.49,935.05,57.3,5224.69
154,36052.76,11844.05,5236.63,2165.44,3883.76,2365.18,4182.23,6375.48
155,63417.56,18415.63,14275.42,2848.33,5520.98,2778.19,1730.11,17848.89
156,23628.51,6734.3,4875.06,2722.94,1543.39,1618.11,1464.98,4669.74
157,41652.97,13680.43,7221.42,2786.54,1953.37,2104.44,2379.33,11527.43
158,30961.67,9838.71,5598.07,1096.45,2583.62,1848.75,2714.0,7282.07
159,15304.76,4370.45,2850.53,1708.89,568.03,1085.5,337.57,4383.79
160,38443.43,13315.78,4565.08,6719.53,0.0,2311.54,3224.07,8307.44
161,25758.37,6613.65,4445.5,2571.15,2510.47,1320.69,3367.37,4929.53
162,47820.21,15524.23,7629.26,5984.93,5554.67,2764.38,1391.8,8970.95
163,43256.08,14003.03,6486.31,4431.8,0.0,2518.92,3274.1,12541.92
164,31715.77,9122.03,5441.38,3077.49,1256.29,1668.24,1590.25,9560.1
165,12860.6,4025.95,3008.49,1640.66,1347.36,705.07,1064.56,1068.52
166,73538.72,18381.41,14650.77,6713.48,11935.32,6763.57,5189.95,9904.22
167,17656.38,5949.51,2875.6,1907.27,1427.2,1257.46,896.16,3343.18
168,21713.45,6353.44,4281.4,2380.9,1104.78,1174.49,1837.74,4580.7
169,13216.72,3688.67,2933.86,1056.77,960.65,977.23,1640.6,1958.95
170,30804.37,10533.88,6399.27,3997.21,4158.44,1642.6,1979.89,2093.09
171,35036.71,9523.9,6369.28,3319.77,1897.64,2924.25,3209.11,7792.76
172,18140.94,4420.25,2913.29,1402.8,871.35,1222.57,566.03,6744.66
173,31849.54,7571.75,6400.06,3697.58,1932.96,1842.62,1315.61,9088.97
174,19868.55,6442.19,3810.88,1451.32,831.83,1370.02,1672.38,4289.93
175,27526.66,6848.16,5694.05,2775.94,2337.2,786.78,3152.45,5932.08
176,17572.86,6505.33,3497.97,1752.48,2547.84,658.36,1417.57,1193.31
177,35842.07,7767.79,7580.12,4751.83,3330.56,1294.67,2172.33,8944.78
178,38601.07,14199.72,6328.37,4409.82,2698.44,2426.42,2701.25,5837.04
179,67116.15,20701.35,14733.46,6661.22,4585.88,6352.56,2180.45,11901.21
180,14626.07,4331.24,2719.4,1821.43,255.55,1530.27,1289.08,2679.11
181,13397.66,3727.27,3245.69,1898.53,1545.08,974.83,1292.47,713.79
182,21833.03,6898.48,3478.53,2548.66,1678.67,1528.68,1232.2,4467.81
183,63323.14,18901.62,14695.97,6351.98,4608.71,1518.42,3539.68,13706.77
184,52515.13,18072.14,9764.52,3184.78,10908.67,2580.94,4094.94,3909.15
185,22653.46,6899.54,3634.92,1541.49,2082.99,1002.29,1288.95,6203.29
186,35809.72,10958.21,5925.92,3253.07,1787.92,1703.94,2435.63,9745.04
187,71792.97,20493.7,12232.77,5866.54,4519.06,4066.15,9547.87,15066.89
188,35472.63,10560.99,6836.46,3348.29,4467.35,1793.43,2220.2,6245.9
189,49425.24,15436.1,9671.78,5026.52,4177.96,1008.97,2928.44,11175.48
190,23266.02,5388.25,3787.45,2696.32,522.76,1743.98,1176.65,7950.61
191,17253.11,4245.52,3092.95,1688.82,2014.63,665.02,1592.91,3953.26
192,69715.71,22987.4,17029.32,7989.08,3714.05,4516.53,4501.07,8978.26
193,66453.76,20390.31,15405.73,6773.91,10295.81,6743.84,3357.16,3486.99
194,44580.42,13046.04,8608.02,1816.03,5492.39,1855.09,4887.76,8875.08
195,15105.23,4542.71,2736.16,1084.86,938.14,141.9,1700.67,3960.79
196,20058.15,6296.32,3682.7,1919.11,2632.45,1088.75,1042.77,3396.06
197,42408.97,11807.07,8414.17,2701.84,3507.83,3478.35,593.89,11905.83
198,42412.61,11403.38,6332.89,5004.6,4839.74,4205.93,4250.82,6375.24
199,48167.41,14827.56,8298.22,7028.71,4787.33,1705.56,2382.41,9137.63
200,20725.37,5406.53,2693.11,2830.32,956.39,1449.41,1942.36,5447.27
201,33114.15,10475.0,6357.15,3099.38,1796.71,1678.68,360.84,9346.4
202,20152.63,4673.33,4018.75,2916.52,2442.47,1166.45,1950.33,2984.77
203,22507.07,7678.65,3725.02,2351.09,1499.17,2540.75,757.7,3954.69
204,60740.95,19370.53,13801.53,5459.85,3878.56,1818.62,5583.49,10828.38
205,46400.31,14395.29,6645.78,3786.17,1939.31,3019.49,3267.89,13346.39
206,13859.7,4702.7,1885.87,1260.21,1343.61,961.22,573.54,3132.54
207,12889.85,4725.66,2406.97,1138.88,2094.61,1053.3,744.89,725.53
208,34611.17,11787.69,7317.25,3638.07,1290.95,2144.5,3135.41,5297.3
209,19152.2,4335.39,4414.92,2007.48,1550.73,1267.13,1401.5,4175.05
210,17901.92,4454.3,2975.9,1791.83,2443.41,933.89,1567.0,3735.59
211,20527.91,5645.32,4359.31,2321.87,1576.84,1342.17,2654.12,2628.27
212,34376.16,10348.72,6148.0,4665.51,3372.12,1826.62,793.15,7222.03
213,25868.71,8296.26,4522.4,3323.78,970.19,1873.71,3065.87,3816.51
214,20009.02,5421.85,4132.06,1109.56,1943.52,1052.63,1463.27,4886.12
215,37566.19,11550.5,7497.07,878.39,2724.08,2537.3,1616.72,10762.13
216,15180.36,4095.43,2014.56,1943.54,1812.98,901.94,456.79,3955.14
217,16458.4,4534.94,3691.56,970.94,2098.37,1358.16,1058.71,2745.72
218,27585.51,6723.51,6107.51,2572.54,5064.22,1626.78,2693.71,2797.24
219,34561.25,9092.05,5572.42,2242.91,3566.21,848.11,2287.04,10952.51
220,69551.42,17104.96,13345.12,3195.23,6470.5,5928.45,8021.69,15485.47
221,28099.92,7333.1,5474.45,3266.44,2466.48,1176.97,743.66,7638.81
222,38528.33,13182.3,7236.4,4730.3,2537.99,1807.93,2683.01,6350.4
223,16409.23,4299.61,2682.76,1357.12,1534.91,789.07,532.12,5213.64
224,29449.89,11935.9,4707.6,655.81,2008.01,2576.53,2382.76,5183.27
225,17678.91,5652.53,3168.65,1478.18,1533.44,305.61,1707.9,3832.6
226,14894.27,4578.4,3204.98,1664.5,1976.53,1828.35,854.59,786.93
227,54463.51,14469.09,10691.62,3029.95,2164.29,4418.14,0.0,19690.42
228,26614.85,8730.0,4494.76,2807.89,3342.7,1715.72,2021.89,3501.9
229,79647.25,22060.26,16180.42,7928.14,10567.96,4691.39,6618.86,11600.22
230,35246.84,10746.07,3332.37,4137.23,2653.29,2316.11,2894.78,9167.0
231,30101.92,12113.11,6455.75,3118.18,0.0,2119.85,3223.12,3071.91
232,36497.86,10809.12,4664.74,2584.34,2032.46,2660.85,1382.12,12364.24
233,34213.7,11836.95,5786.45,4649.54,4512.1,2433.01,3093.14,1902.51
234,33453.21,9095.02,4897.88,3186.22,2645.66,2067.13,3538.52,8022.78
235,19842.5,5924.98,2800.96,1968.0,794.25,1112.24,330.23,6911.85
236,40302.55,14945.48,8657.99,2901.86,2410.46,2296.22,3207.66,5882.89
237,16408.5,4511.05,2723.3,1422.64,1864.41,920.55,900.41,4066.14
238,16272.55,6061.49,3098.21,1195.31,1657.67,1345.34,1099.28,1815.23
239,33074.64,10858.74,5906.88,3135.86,2329.87,2377.11,2660.2,5805.98
240,12000.0,3330.02,2331.73,1816.22,783.92,14.31,664.6,3059.21
241,44848.09,14588.92,8176.02,2638.99,2885.06,3279.2,2230.24,11049.66
242,73668.74,24966.5,10424.88,3800.8,3175.39,4707.04,5232.29,21361.84
243,76449.68,24836.39,16045.87,11019.08,11055.77,4558.38,2857.89,6076.3
244,33256.75,7888.2,5493.59,3116.83,2231.77,1736.99,1244.64,11544.73
245,19729.67,5345.05,2630.02,1576.95,2538.94,1627.35,1783.19,4228.17
246,63112.5,18308.89,10549.67,8280.18,8889.56,4982.77,2242.78,9858.66
247,56552.17,16797.27,12725.53,4627.75,6782.44,2518.97,5089.09,8011.11
248,71195.75,23126.29,14631.2,11019.7,4466.48,4851.35,5971.74,7128.99
249,58720.82,18033.64,9955.55,7066.33,5645.96,2382.12,1070.23,14566.99
250,50444.6,12438.94,8551.48,4306.08,3986.75,1634.79,2505.74,17020.81
251,13180.66,4154.65,2245.34,2171.11,578.0,625.63,1394.82,2011.12
252,36424.25,11816.88,8825.68,2980.54,3386.52,2813.7,1477.55,5123.37
253,52436.49,16905.09,10039.39,6411.04,1721.93,4145.76,2940.0,10273.29
254,13733.24,4713.68,2649.16,1496.63,1751.09,964.92,1151.69,1006.07
255,16060.28,5353.81,3387.25,2233.22,986.35,1196.52,1501.66,1401.48
256,27429.16,8732.55,5133.74,4027.84,2415.04,1928.92,1713.06,3478.02
257,76871.42,22845.68,13239.47,7760.95,7020.78,3626.05,4003.06,18375.43
258,41171.48,9616.07,7168.35,3186.57,2867.34,2825.95,4638.84,10868.37
259,34944.19,11083.76,6214.89,3976.62,3615.6,2656.04,4269.03,3128.25
260,22439.83,6918.37,4014.11,1787.75,1368.92,1684.91,2229.75,4436.02
261,35541.58,11048.57,7173.32,5700.93,4082.02,2977.61,2578.88,1980.26
262,51387.16,12791.81,9329.77,5349.2,1344.33,3811.18,2351.07,16409.8
263,22569.37,5794.86,4558.54,2009.58,1919.64,1512.8,1017.58,5756.36
264,38772.37,13265.04,6885.14,4092.05,6108.86,3156.19,3321.84,1943.25
265,49627.54,14809.74,9050.03,2957.12,1984.44,2951.33,4096.85,13778.03
266,33667.63,11018.07,4041.93,2385.4,1780.69,1426.25,3772.39,9242.9
267,28870.67,8693.9,5990.37,3926.77,2903.13,1638.08,2584.31,3134.1
268,25320.4,7626.26,4820.87,2033.06,2207.52,1142.0,630.67,6860.03
269,41483.24,14001.9,8709.0,2845.45,3900.47,1928.82,4212.97,5884.63
270,23728.25,6628.68,2209.39,2754.84,2362.56,1355.11,950.51,7467.15
271,46014.32,13981.21,11165.43,6238.21,4849.4,2031.61,2690.96,5057.5
272,65629.69,18475.35,11538.51,7978.51,8163.55,3533.55,5086.7,10853.53
273,53493.57,15118.36,11407.26,6947.82,5156.39,1183.69,6947.21,6732.83
274,55128.75,15856.85,8203.31,4261.24,3878.29,3542.9,9002.39,10383.76
275,30853.24,9530.11,6120.77,1769.3,3298.3,1851.94,2721.31,5561.51
276,28952.06,8131.19,4296.41,4199.21,4516.39,1264.0,1867.53,4677.34
277,35339.65,12377.01,5699.82,3191.86,2639.68,2586.33,3040.45,5804.48
278,29183.35,7710.7,6928.74,2698.73,1197.07,2298.23,2819.98,5529.91
279,36893.2,10792.19,6429.73,5159.36,4585.21,1027.43,2227.61,6671.67
280,34648.33,9785.06,6462.71,4043.01,2605.03,1550.36,4291.42,5910.75
281,57610.52,20617.6,11873.65,6548.97,0.0,2570.42,4430.37,11569.51
282,15277.31,4703.31,2977.1,2519.99,1740.04,629.45,1297.54,1409.88
283,30962.6,10566.72,5712.99,2498.51,1814.0,2371.41,2785.94,5213.02
284,20266.17,4875.59,3869.8,2590.73,1547.9,1137.41,1674.95,4569.79
285,38506.42,11963.25,9707.56,3916.5,3591.85,2106.67,3664.59,3555.99
286,15067.33,5056.37,2686.08,1628.14,1320.2,300.18,775.7,3300.66
287,35695.33,10826.08,6640.51,5206.31,3868.59,2595.35,1900.81,4657.68
288,40259.71,13793.75,8515.72,4639.33,2519.47,1417.74,1489.42,7884.27
289,12991.78,3628.72,2769.4,1508.98,1305.99,795.08,1080.72,1902.89
290,38803.52,13828.56,8366.46,5128.86,2701.43,2543.48,3623.01,2611.72
291,16012.13,6276.05,3189.01,1425.9,1754.17,1396.47,1340.75,629.79
292,19711.8,5627.45,2872.2,1474.91,2062.14,666.72,2370.04,4638.32
293,52367.41,14777.03,11992.29,3595.32,2229.93,0.0,3656.93,16115.91
294,22365.83,8009.99,3256.68,917.21,2760.82,1424.19,2014.32,3982.62
295,13117.37,4764.01,2480.22,2120.9,768.17,1259.4,488.61,1236.07
296,35336.59,9861.93,5560.98,2364.15,3969.09,2995.8,2063.2,8521.44
297,36818.06,10426.6,6556.41,3437.42,3486.36,2363.47,3345.51,7202.29
298,15287.05,4413.81,2902.44,1401.76,2346.98,766.91,1459.5,1995.65
299,39470.15,9718.42,7485.15,4311.02,2804.8,3005.35,2414.82,9730.59
300,13015.44,3426.37,2507.52,1620.06,859.37,527.5,883.12,3191.49
